,tweets,sentiment,word_counts,chars_count,avg_word,stop_words_count,hash_counts,mentions_count,numeric_count,upper_count,emails_count,urls_flag,rt_count
0,sad leaving va,0,5,24,3.8,2,0,0,0,1,0,0,0
1,itsadinosaur morganack sorry babies gonna figure shit,0,12,80,5.666666666666667,2,0,2,0,0,0,0,0
2,ludajuice follow sista check myspace page kiki mimi,0,14,81,4.714285714285714,6,0,1,0,0,0,0,0
3,find sunglasses way,0,10,54,4.4,4,0,0,0,0,0,0,0
4,hella forgot scary chuckie doll movies childs play noooo joke,0,13,73,4.615384615384615,3,0,0,0,0,0,0,0
5,watching erin degeneres sore gum wisdom tooth coming,0,22,110,4.0,10,0,0,0,0,0,0,0
6,hella bored,0,6,43,6.166666666666667,3,0,0,0,0,0,0,0
7,football look geelong kick ass,0,10,53,4.3,4,0,0,0,0,0,0,0
8,firefighting mode past 24 hours phew sad yesterday,0,13,70,4.384615384615385,3,0,0,1,0,0,0,0
9,resident evil 5 awesomei play resti play dads xboxso leave parents room,0,27,130,3.814814814814815,14,0,0,1,0,0,0,0
10,hates chem,0,4,44,10.0,1,0,0,0,0,0,1,0
11,crushed,0,2,11,4.5,1,0,0,0,0,0,0,0
12,grandmas found friend left stambrose,0,12,69,4.75,7,0,0,0,0,0,0,0
13,need,0,4,20,4.0,2,0,0,0,1,0,0,0
14,msbeeee principled chickens hospital lot research,0,19,102,4.368421052631579,10,0,2,0,1,0,0,0
15,omg muggy yay rainy season,0,7,42,4.714285714285714,0,0,0,0,0,0,0,0
16,eddieabdullah surprised actually,0,9,60,5.555555555555555,5,0,1,0,0,0,0,0
17,parisienne257 makes sad,0,6,44,6.166666666666667,1,0,1,0,0,0,0,0
18,realadulttalk,0,5,34,5.8,0,0,1,0,4,0,0,0
19,shopping wife tescos knew,0,17,79,3.6470588235294117,8,0,0,0,1,0,0,0
20,ahhh celebrating success week found suppliers must-have items old suppliers quit supplying,0,16,115,6.0625,3,0,0,0,0,0,0,0
21,gordonryan envy use clean office organization mojo happened,0,26,137,4.269230769230769,9,0,1,0,2,0,0,0
22,job hunting sucks,0,3,19,5.333333333333333,0,0,0,0,0,0,0,0
23,getting crankyi lay flat position pillow head watch weeds flight delayed,0,27,136,4.037037037037037,12,1,0,0,1,0,0,0
24,kruttikan cudnt agree moren shpping spree postponed saturaday,0,11,79,6.181818181818182,2,0,1,0,0,0,0,0
25,summer skool blues,0,5,27,4.4,2,0,0,0,0,0,0,0
26,said fucking hurts complain ones business,0,21,133,5.333333333333333,8,0,0,0,1,0,1,0
27,god tired guess kept awake haha blame meant hours sleep,0,28,133,3.75,11,0,0,0,0,0,0,0
28,question week braces year questions face mother dentist fb,0,27,125,3.6296296296296298,16,1,0,0,0,0,0,0
29,somethings wrong twitter pic,0,9,52,4.777777777777778,4,0,0,0,0,0,0,0
30,sad school miss desiree rip,0,11,57,4.181818181818182,5,0,0,0,1,0,0,0
31,supastarcity soweeee hit,0,4,30,6.5,0,0,1,0,0,0,0,0
